Cursor | 1664x1026
txt:default.prof raw|92x13@4:90
txt:> NOTEPADS|74x10@2:92
txt:.Agent xL.-|61x10@76:93
txt:> OUTLINE|62x10@2:94
txt:> TIMELINE|66x10@2:96
txt:|42x14@3:98
txt:Start a new chat for better results.|238x9@91:96
txt:* (£s<fLaunchpad 00￿0 (IAI)o|272x13@13:98
btn:Cursor Tab Ln 28, Col 21 (14 selected) Spaces: 4 UTF-8 LF Python O Prettier|518x13@81:98
btn:close button|16x16@1:1
btn:minimize button|16x16@2:1
btn:full screen button|16x16@3:1
btn:button|22x22@33:1
btn:button|22x22@35:1
btn:button|72x22@51:1
btn:checkbox|22x22@93:1
btn:checkbox|22x22@95:1
btn:checkbox|22x22@97:1
btn:checkbox|22x22@98:1
btn:button|263x22@7:7
btn:outline row|263x22@7:8
btn:outline row|263x22@7:10
btn:outline row|263x22@7:12
btn:outline row|263x22@7:15
btn:outline row|263x22@7:17
btn:outline row|263x22@7:19
btn:outline row|263x22@7:21
btn:outline row|263x22@7:23
btn:outline row|263x22@7:25
btn:outline row|263x22@7:27
btn:outline row|263x22@7:30
btn:outline row|263x22@7:32
btn:outline row|263x22@7:34
btn:outline row|263x22@7:36
btn:outline row|263x22@7:38
btn:outline row|263x22@7:40
btn:outline row|263x22@7:42
btn:outline row|263x22@7:45
btn:outline row|263x22@7:47
btn:outline row|263x22@7:49
btn:outline row|263x22@7:51
btn:outline row|263x22@7:53
btn:outline row|263x22@7:55
btn:outline row|263x22@7:57
btn:outline row|263x22@7:60
btn:outline row|263x22@7:62
btn:outline row|263x22@7:64
btn:outline row|263x22@7:66
btn:outline row|263x22@7:68
btn:outline row|263x22@7:70
btn:outline row|263x22@7:73
btn:outline row|263x22@7:75
btn:outline row|263x22@7:77
btn:outline row|263x22@7:79
btn:outline row|263x22@7:81
btn:outline row|263x22@7:83
btn:outline row|263x22@7:85
btn:outline row|263x22@7:88
btn:outline row|263x22@7:90
btn:outline row|263x22@7:92
btn:button|263x22@7:94
btn:button|263x22@7:96
btn:tab|71x22@18:70
btn:tab|57x22@22:70
btn:tab|66x22@33:70
btn:tab|47x22@36:70
btn:tab|60x22@40:70
btn:button|22x22@65:70
btn:pop up button|16x22@66:70
btn:pop up button|22x22@68:70
btn:checkbox|22x22@69:70
btn:button|22x22@71:70
btn:tab|227x22@80:5
btn:button|22x22@92:5
btn:button|22x22@94:5
btn:button|22x22@95:5
btn:pop up button|22x22@97:5
btn:button|22x22@98:5
btn:button|34x22@1:98
btn:button|57x22@3:98
btn:button|21x22@6:98
btn:button|25x22@7:98
btn:button|104x22@12:98
btn:button|64x22@17:98
btn:button|36x22@20:98
btn:button|24x22@98:98
btn:button|69x22@95:98
btn:button|50x22@91:98
btn:button|24x22@89:98
btn:button|47x22@86:98
btn:button|66x22@82:98
btn:button|166x22@75:98
