Cursor | 1664x1026
txt:Start a new chat for better results.|238x9@91:96
btn:Cursor Tab Ln 117, Col 59 Spaces: 4 UTF-8 LF Python O Prettier|446x13@83:98
btn:close button|16x16@1:1
btn:minimize button|16x16@2:1
btn:full screen button|16x16@3:1
btn:button|22x22@33:1
btn:button|22x22@35:1
btn:button|72x22@51:1
btn:checkbox|22x22@93:1
btn:checkbox|22x22@95:1
btn:checkbox|22x22@97:1
btn:checkbox|22x22@98:1
btn:button|263x22@7:7
btn:outline row|263x22@7:10
btn:outline row|263x22@7:12
btn:outline row|263x22@7:14
btn:outline row|263x22@7:16
btn:outline row|263x22@7:18
btn:outline row|263x22@7:20
btn:outline row|263x22@7:23
btn:outline row|263x22@7:25
btn:outline row|263x22@7:27
btn:outline row|263x22@7:29
btn:outline row|263x22@7:31
btn:outline row|263x22@7:33
btn:outline row|263x22@7:35
btn:outline row|263x22@7:38
btn:outline row|263x22@7:40
btn:outline row|263x22@7:42
btn:outline row|263x22@7:44
btn:outline row|263x22@7:46
btn:outline row|263x22@7:48
btn:outline row|263x22@7:50
btn:outline row|263x22@7:53
btn:outline row|263x22@7:55
btn:outline row|263x22@7:57
btn:outline row|263x22@7:59
btn:outline row|263x22@7:61
btn:outline row|263x22@7:63
btn:outline row|263x22@7:65
btn:outline row|263x22@7:68
btn:outline row|263x22@7:70
btn:outline row|263x22@7:72
btn:outline row|263x22@7:74
btn:outline row|263x22@7:76
btn:outline row|263x22@7:78
btn:outline row|263x22@7:80
btn:outline row|263x22@7:83
btn:outline row|263x22@7:85
btn:outline row|263x22@7:87
btn:outline row|263x22@7:89
btn:outline row|263x22@7:91
btn:button|263x22@7:92
btn:button|263x22@7:94
btn:button|263x22@7:96
btn:tab|227x22@80:5
btn:button|22x22@92:5
btn:button|22x22@94:5
btn:button|22x22@95:5
btn:pop up button|22x22@97:5
btn:button|22x22@98:5
btn:button|34x22@1:98
btn:button|57x22@3:98
btn:button|21x22@6:98
btn:button|25x22@7:98
btn:button|104x22@12:98
btn:button|64x22@17:98
btn:button|36x22@20:98
btn:button|24x22@98:98
btn:button|69x22@95:98
btn:button|50x22@91:98
btn:button|24x22@89:98
btn:button|47x22@86:98
btn:button|66x22@82:98
btn:button|94x22@77:98
